ecosystem,name,version,dep_type,tree,declared_in,status,eol_date,last_publish,deprecated,risk,notes
npm,@types/express,4.17.25,devDependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2025-12-01,false,test-only,
npm,@types/global-agent,2.1.3,devDependencies,root-workspace,packages/backend/package.json,OK,,2025-02-21,false,auth-crypto-network,
npm,@types/jest,30.0.0,devDependencies,root-workspace,package.json,OK,,2025-06-16,false,test-only,
npm,@types/jquery,3.5.34,devDependencies,root-workspace,packages/app-next/package.json,OK,,2026-06-05,false,test-only,
npm,@types/node,24.13.3,devDependencies,root-workspace,packages/app/package.json; packages/plugin-utils/package.json,OK,,2026-08-07,false,test-only,
npm,@types/react,18.3.31,devDependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/plugin-utils/package.json,OK,,2026-07-30,false,test-only,
npm,@types/react-dom,18.3.7,devDependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/plugin-utils/package.json,OK,,2026-07-30,false,test-only,
npm,@types/supertest,6.0.3,devDependencies,root-workspace,plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-07-14,false,test-only,
npm,better-sqlite3,12.11.1,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-05,false,runtime-prod,
npm,cross-env,7.0.3,devDependencies,root-workspace,packages/app-next/package.json,OK,,2025-09-29,false,build,
npm,eslint-plugin-unused-imports,4.4.1,devDependencies,root-workspace,packages/app/package.json,OK,,2026-02-09,false,build,
npm,express,4.22.2,dependencies,root-workspace,plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2025-12-01,false,runtime-prod,
npm,glob,11.1.0,devDependencies,root-workspace,package.json,OK,,2026-02-19,false,build,
npm,global-agent,3.0.0,dependencies,root-workspace,packages/backend/package.json,OK,,2026-03-11,false,auth-crypto-network,
npm,jest,30.4.2,devDependencies,root-workspace,package.json,OK,,2026-05-09,false,test-only,
npm,jsdom,27.4.0,devDependencies,root-workspace,package.json,OK,,2026-07-29,false,test-only,
npm,json-2-csv,5.5.11,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2026-05-26,false,runtime-prod,
npm,knex,3.3.0,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2026-06-26,false,runtime-prod,
npm,lint-staged,15.5.2,devDependencies,root-workspace,package.json,OK,,2026-07-31,false,build,
npm,lodash,4.18.1,dependencies,root-workspace,packages/app/package.json,OK,,2026-04-01,false,runtime-prod,
npm,luxon,3.7.2,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2025-09-05,false,runtime-prod,
npm,mongodb,7.5.0,dependencies,root-workspace,packages/backend/package.json,OK,,2026-07-07,false,runtime-prod,
npm,msw,1.3.5,devDependencies,root-workspace,plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-07-08,false,build,
npm,node-gyp,10.3.1,devDependencies,root-workspace,package.json,OK,,2026-07-02,false,build,
npm,prettier,3.8.4,devDependencies,root-workspace,packages/app/package.json; packages/backend/package.json; packages/plugin-utils/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-07-21,false,build,
npm,react,16.13.1 || ^17.0.0 || ^18.2.0,peerDependencies,root-workspace,packages/plugin-utils/package.json,OK,,2026-07-21,false,runtime-prod,
npm,react,18.3.1,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-07-21,false,runtime-prod,
npm,react,18.3.1,devDependencies,root-workspace,packages/plugin-utils/package.json,OK,,2026-07-21,false,build,
npm,react-dom,18.3.1,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-07-21,false,runtime-prod,
npm,react-router,6.30.4,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-07-22,false,runtime-prod,
npm,react-router-dom,6.30.4,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-07-28,false,runtime-prod,
npm,react-use,17.6.1,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-06-10,false,runtime-prod,
npm,refractor@npm:3.6.0/prismjs,^1.30.0,resolutions,root-workspace,package.json,OK,,2025-03-10,false,runtime-prod,resolved as prismjs
npm,rulesync,7.30.0,devDependencies,root-workspace,package.json,OK,,2026-08-18,false,build,
npm,sherif,1.13.0,devDependencies,root-workspace,package.json,OK,,2026-07-04,false,build,
npm,supertest,6.3.4,devDependencies,root-workspace,plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-01-06,false,build,
npm,tss-react,4.9.21,dependencies,root-workspace,packages/app/package.json,OK,,2026-05-12,false,runtime-prod,
npm,turbo,2.10.4,devDependencies,root-workspace,package.json,OK,,2026-08-18,false,build,
